kr_1_test,kr_1_duration,kr_1_1,kr_1_2,kr_1_3,kr_1_3_rescale,kr_1_4a,kr_1_4b,kr_1_open,kr_1_sum,fisher,suspected,k_11_lms,k_12_lms,k_13_lms,k_14_lms,kr_2_test,kr_2_duration,kr_2_1,kr_2_2,kr_2_3,k2_open,k2_sum,domashka,auditorka,exam,exam_10,unround,Itog,V38,kr3_min,kr3_1,kr3_2,kr3_3,kr3_4,kr3_5,kr3_sum,sex,ip
15,44 мин. 59 сек.,10,5,0,0,8,,23,68,"0,66",0,10,5,0,8,18,1 ч. 6 мин.,5,9,10,24,84,10,8,16,4,"6,780",7,,10,5,0,5,0,12,32,male,0
20,37 мин. 31 сек.,10,5,15,15,2,,32,92,"0,65",0,10,5,15,2,19,1 ч. 7 мин.,2,4,10,16,79,9,9,25,7,"8,153",8,,20,4,2,0,5,16,47,male,0
16,41 мин. 44 сек.,10,0,8,5,0,0,15,"63,3","0,76",0,10,0,5,0,16,1 ч. 8 мин.,0,2,1,3,56,6,6,28,7,"6,282",6,,25,5,2,0,0,20,52,male,1
12,45 мин.,10,1,1,1,1,,13,49,"0,73",0,10,1,1,1,11,1 ч. 9 мин.,5,0,3,8,45,7,7,15,4,"4,835",5,,0,4,2,5,5,10,26,female,0
17,43 мин. 28 сек.,10,5,10,10,7,,32,83,"0,61",0,10,5,10,7,17,1 ч. 9 мин.,0,8,10,18,75,10,10,26,9,"8,545",9,,40,5,1,9,5,7,67,female,0
20,44 мин. 16 сек.,10,5,15,10,0,5,30,"90,0","0,67",0,10,5,10,5,19,1 ч. 10 мин.,4,8,6,18,81,10,10,24,10,"9,203",9,,40,5,10,5,4,24,88,male,1
5,38 мин. 12 сек.,0,0,9,9,7,,16,31,"0,48",1,0,0,9,7,13,1 ч.,0,2,2,4,47,0,4,14,4,"3,545",4,,0,0,0,0,0,0,0,male,0
14,41 мин. 38 сек.,10,2,0,0,10,,22,64,"0,66",0,10,2,0,10,12,1 ч. 9 мин.,,,,0,40,10,9,11,3,"5,210",5,,5,0,0,5,4,0,14,male,0
14,32 мин. 4 сек.,10,5,15,15,10,,40,82,"0,51",0,10,5,15,10,11,1 ч. 10 мин.,8,0,3,11,48,10,9,17,5,"6,525",7,,30,5,6,4,5,19,69,male,0
6,44 мин. 38 сек.,5,3,0,0,0,,8,26,"0,69",0,5,3,0,0,0,1 ч. 1 мин.,2,6,10,18,18,1,1,11,3,"2,260",2,,0,5,2,4,0,5,16,male,0
10,43 мин. 53 сек.,0,5,0,0,10,,15,45,"0,67",0,0,5,0,10,0,1 ч. 10 мин.,0,0,3,3,3,0,1,24,7,"3,470",3,,10,1,2,0,0,0,13,male,0
17,45 мин.,5,1,0,0,7,,13,64,"0,80",0,5,1,0,7,12,1 ч. 10 мин.,0,2,2,4,44,7,7,13,3,"4,920",5,,0,0,0,0,0,0,0,female,0
17,38 мин. 48 сек.,10,5,10,10,7,,32,83,"0,61",0,10,5,15,7,20,1 ч. 8 мин.,6,3,10,19,86,10,10,29,10,"9,148",9,,40,5,8,5,5,12,75,male,0
17,46 мин. 37 сек.,0,5,8,8,10,,23,74,"0,69",0,0,5,8,10,13,1 ч. 9 мин.,3,10,10,23,66,9,9,10,2,"5,800",6,,25,5,1,0,5,10,46,female,0
5,44 мин. 47 сек.,0,5,0,0,0,,5,20,"0,75",0,0,5,0,0,15,50 мин. 59 сек.,9,10,2,21,71,9,10,10,2,"4,503",5,,0,0,1,0,0,0,1,female,0
14,43 мин. 54 сек.,5,5,0,0,7,,17,59,"0,71",0,5,5,0,7,13,1 ч. 9 мин.,,,,0,43,7,7,12,3,"4,755",5,,0,0,0,0,0,0,0,male,0
17,43 мин. 18 сек.,5,5,6,6,6,,22,73,"0,70",0,5,5,6,6,,"",1,10,,11,11,10,10,20,6,"5,610",6,,30,5,4,5,5,12,61,male,0
15,44 мин. 17 сек.,10,5,8,8,7,,30,75,"0,60",0,10,5,8,7,15,1 ч. 9 мин.,6,0,0,6,56,9,0,9,2,"5,103",5,,0,,,,,,0,female,0
9,45 мин.,10,5,15,15,6,,36,63,"0,43",1,10,5,15,6,4,1 ч. 9 мин.,,,,0,13,7,6,13,3,"3,990",4,,0,5,0,0,0,0,5,female,0
15,38 мин. 45 сек.,7,0,12,8,0,0,15,"60,0","0,75",0,7,0,8,0,15,1 ч. 5 мин.,4,0,0,4,54,6,6,16,4,"5,235",5,,15,5,0,0,0,17,37,female,1
16,41 мин. 27 сек.,5,5,0,0,7,,17,65,"0,74",0,5,5,0,7,19,1 ч. 8 мин.,7,7,0,14,77,10,10,25,9,"8,105",8,,45,5,2,5,3,4,64,female,0
18,42 мин. 58 сек.,0,5,0,0,7,,12,66,"0,82",0,0,5,0,7,17,1 ч. 7 мин.,0,6,10,16,73,10,10,18,5,"6,823",7,,35,2,10,5,5,4,61,female,0
17,35 мин. 41 сек.,10,5,13,13,6,,34,85,"0,60",0,10,5,13,6,5,1 ч. 7 мин.,1,0,3,4,21,0,0,19,5,"4,415",4,,,,,,,,0,male,0
16,37 мин. 44 сек.,0,5,0,0,3,,8,56,"0,86",0,0,5,0,3,15,1 ч. 9 мин.,0,0,10,10,60,9,6,11,3,"5,290",5,,,,,,,,0,female,0
7,42 мин. 58 сек.,0,5,11,11,3,,19,40,"0,53",0,0,5,11,3,15,1 ч. 5 мин.,3,3,0,6,56,9,6,14,4,"5,040",5,,0,0,0,0,0,0,0,male,0
11,44 мин. 25 сек.,10,5,5,5,9,,29,62,"0,53",0,10,5,5,9,12,1 ч. 10 мин.,4,7,10,21,61,9,9,13,3,"5,633",6,,20,3,3,5,0,9,40,female,0
13,44 мин. 37 сек.,10,5,0,0,10,,25,64,"0,61",0,10,5,0,10,10,1 ч. 9 мин.,,,,0,33,10,10,14,4,"5,368",5,,0,0,1,0,5,0,6,female,0
16,44 мин. 36 сек.,0,5,5,5,7,,17,65,"0,74",0,0,5,5,7,4,1 ч. 9 мин.,,,,0,13,7,7,9,2,"3,795",4,,,,,,,,0,male,0
14,38 мин. 49 сек.,5,5,0,0,8,,18,60,"0,70",0,5,5,0,8,7,1 ч. 6 мин.,4,0,5,9,32,7,7,9,2,"4,180",4,,0,5,0,0,0,0,5,male,0
17,24 мин. 54 сек.,10,5,13,9,0,5,29,"79,7","0,64",0,10,5,9,5,16,1 ч. 10 мин.,0,9,0,9,62,8,8,20,6,"6,896",7,,10,5,3,1,2,2,23,male,1
