kr_1_test,kr_1_duration,kr_1_1,kr_1_2,kr_1_3,kr_1_3_rescale,kr_1_4a,kr_1_4b,kr_1_open,kr_1_sum,fisher,suspected,k_11_lms,k_12_lms,k_13_lms,k_14_lms,kr_2_test,kr_2_duration,kr_2_1,kr_2_2,kr_2_3,k2_open,k2_sum,domashka,auditorka,exam,exam_10,unround,Itog,V38,kr3_min,kr3_1,kr3_2,kr3_3,kr3_4,kr3_5,kr3_sum,sex,ip
16,42 мин. 31 сек.,10,5,6,6,3,,24,72,"0,67",0,10,5,6,3,17,1 ч. 8 мин.,0,8,10,18,75,10,10,18,5,"7,043",7,,45,4,10,10,5,23,97,female,0
15,42 мин. 21 сек.,10,5,2,2,2,,19,64,"0,70",0,10,5,2,2,17,1 ч. 8 мин.,7,0,0,7,64,7,7,12,3,"5,470",5,,30,5,3,5,5,0,48,male,0
10,44 мин. 45 сек.,10,5,1,1,10,,26,56,"0,54",0,10,5,1,10,12,1 ч. 9 мин.,4,0,6,10,50,7,7,18,5,"5,465",5,,0,2,0,0,2,0,4,female,0
18,38 мин. 36 сек.,10,5,11,7,0,15,37,"91,3","0,59",0,10,5,7,15,19,1 ч. 6 мин.,0,9,3,12,75,10,10,21,6,"7,874",8,,35,5,9,9,5,20,83,female,1
13,44 мин. 52 сек.,0,5,10,10,0,,15,54,"0,72",0,2,5,10,0,20,1 ч. 7 мин.,0,7,10,17,84,10,9,10,2,"5,845",6,,,1,0,5,0,19,25,female,0
15,25 мин. 57 сек.,10,5,15,10,0,15,40,"85,0","0,53",0,10,5,10,15,19,1 ч. 10 мин.,8,8,10,26,89,10,10,23,8,"8,685",9,,20,0,4,0,0,5,29,male,1
14,44 мин. 9 сек.,10,5,8,8,4,,27,69,"0,61",0,10,5,8,4,15,1 ч. 10 мин.,2,7,1,10,60,10,10,19,5,"6,548",7,,5,0,1,0,0,0,6,male,0
17,28 мин. 53 сек.,0,5,15,15,3,,23,74,"0,69",0,0,5,15,3,19,58 мин. 28 сек.,8,8,8,24,87,9,9,25,7,"7,878",8,,20,5,0,5,5,8,43,male,0
15,45 мин.,5,2,15,15,10,,32,77,"0,58",0,5,2,15,10,16,1 ч. 7 мин.,,,,0,53,7,7,9,2,"5,225",5,,,,,,,,0,male,0
10,41 мин. 3 сек.,10,0,5,5,8,,23,53,"0,57",0,10,0,11,8,13,1 ч. 10 мин.,0,0,10,10,53,6,7,23,7,"5,965",6,,0,0,0,1,2,0,3,male,0
6,45 мин.,10,3,0,0,7,,20,38,"0,47",1,10,3,0,7,19,1 ч. 9 мин.,0,2,0,2,65,9,2,8,0,"3,833",4,,,,,,,,0,male,0
11,44 мин. 25 сек.,10,5,15,15,8,,38,71,"0,46",1,10,5,15,8,15,1 ч. 6 мин.,0,7,0,7,57,10,10,18,5,"6,520",7,,30,5,0,4,0,12,51,male,0
19,30 мин. 21 сек.,10,5,15,15,10,,40,97,"0,59",0,10,5,15,10,19,57 мин. 19 сек.,10,7,10,27,90,10,9,23,10,"9,593",10,,35,5,2,10,4,23,79,female,0
